"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30046","搜索少年的你，现实搜索结果","电影搜索页面测试","Wed Aug 20 09:29:44 UTC 2025","broken","Wed Aug 20 09:30:14 UTC 2025","","","",""
"","4","should work","Example Test Suite","Wed Aug 20 09:29:05 UTC 2025","passed","Wed Aug 20 09:29:05 UTC 2025","","","",""
"","33639","首页点击搜索框可以跳转到搜索页","电影搜索页面测试","Wed Aug 20 09:29:11 UTC 2025","broken","Wed Aug 20 09:29:44 UTC 2025","","","",""
